date,trend_score,keyword,region
2025-07-20,69,sound bath,chicago
2025-07-27,67,sound bath,chicago
2025-08-03,62,sound bath,chicago
2025-08-10,45,sound bath,chicago
2025-08-17,38,sound bath,chicago
2025-08-24,0,sound bath,chicago
2025-08-31,0,sound bath,chicago
2025-09-07,0,sound bath,chicago
2025-09-14,57,sound bath,chicago
2025-09-21,0,sound bath,chicago
2025-09-28,55,sound bath,chicago
2025-10-05,0,sound bath,chicago
2025-10-12,53,sound bath,chicago
2025-10-19,39,sound bath,chicago
2025-10-26,50,sound bath,chicago
2025-11-02,69,sound bath,chicago
2025-11-09,65,sound bath,chicago
2025-11-16,42,sound bath,chicago
2025-11-23,13,sound bath,chicago
2025-11-30,41,sound bath,chicago
2025-12-07,51,sound bath,chicago
2024-12-08,0,sound bath,salt lake city
2024-12-15,0,sound bath,salt lake city
2024-12-22,0,sound bath,salt lake city
2024-12-29,0,sound bath,salt lake city
2025-01-05,57,sound bath,salt lake city
2025-01-12,0,sound bath,salt lake city
2025-01-19,0,sound bath,salt lake city
2025-01-26,54,sound bath,salt lake city
2025-02-02,0,sound bath,salt lake city
2025-02-09,51,sound bath,salt lake city
2025-02-16,65,sound bath,salt lake city
2025-02-23,0,sound bath,salt lake city
2025-03-02,51,sound bath,salt lake city
2025-03-09,0,sound bath,salt lake city
2025-03-16,0,sound bath,salt lake city
2025-03-23,0,sound bath,salt lake city
2025-03-30,0,sound bath,salt lake city
2025-04-06,0,sound bath,salt lake city
2025-04-13,0,sound bath,salt lake city
2025-04-20,0,sound bath,salt lake city
2025-04-27,0,sound bath,salt lake city
2025-05-04,0,sound bath,salt lake city
2025-05-11,0,sound bath,salt lake city
2025-05-18,0,sound bath,salt lake city
2025-05-25,0,sound bath,salt lake city
2025-06-01,0,sound bath,salt lake city
2025-06-08,0,sound bath,salt lake city
2025-06-15,0,sound bath,salt lake city
2025-06-22,0,sound bath,salt lake city
2025-06-29,0,sound bath,salt lake city
2025-07-06,55,sound bath,salt lake city
2025-07-13,0,sound bath,salt lake city
2025-07-20,0,sound bath,salt lake city
2025-07-27,0,sound bath,salt lake city
2025-08-03,78,sound bath,salt lake city
2025-08-10,100,sound bath,salt lake city
2025-08-17,65,sound bath,salt lake city
2025-08-24,62,sound bath,salt lake city
2025-08-31,0,sound bath,salt lake city
2025-09-07,0,sound bath,salt lake city
2025-09-14,0,sound bath,salt lake city
2025-09-21,0,sound bath,salt lake city
2025-09-28,60,sound bath,salt lake city
2025-10-05,64,sound bath,salt lake city
2025-10-12,0,sound bath,salt lake city
2025-10-19,0,sound bath,salt lake city
2025-10-26,0,sound bath,salt lake city
2025-11-02,0,sound bath,salt lake city
2025-11-09,0,sound bath,salt lake city
2025-11-16,0,sound bath,salt lake city
2025-11-23,5,sound bath,salt lake city
2025-11-30,31,sound bath,salt lake city
2025-12-07,29,sound bath,salt lake city
2024-12-08,0,sound bath,austin
2024-12-15,0,sound bath,austin
2024-12-22,0,sound bath,austin
2024-12-29,0,sound bath,austin
2025-01-05,0,sound bath,austin
2025-01-12,0,sound bath,austin
2025-01-19,0,sound bath,austin
2025-01-26,0,sound bath,austin
2025-02-02,0,sound bath,austin
2025-02-09,0,sound bath,austin
2025-02-16,0,sound bath,austin
2025-02-23,0,sound bath,austin
2025-03-02,0,sound bath,austin
2025-03-09,0,sound bath,austin
2025-03-16,0,sound bath,austin
2025-03-23,0,sound bath,austin
2025-03-30,0,sound bath,austin
2025-04-06,0,sound bath,austin
2025-04-13,0,sound bath,austin
2025-04-20,0,sound bath,austin
2025-04-27,0,sound bath,austin
2025-05-04,0,sound bath,austin
2025-05-11,0,sound bath,austin
2025-05-18,0,sound bath,austin
2025-05-25,0,sound bath,austin
2025-06-01,0,sound bath,austin
2025-06-08,0,sound bath,austin
2025-06-15,0,sound bath,austin
2025-06-22,0,sound bath,austin
2025-06-29,0,sound bath,austin
2025-07-06,0,sound bath,austin
2025-07-13,0,sound bath,austin
2025-07-20,0,sound bath,austin
2025-07-27,0,sound bath,austin
2025-08-03,0,sound bath,austin
2025-08-10,0,sound bath,austin
2025-08-17,0,sound bath,austin
2025-08-24,0,sound bath,austin
2025-08-31,0,sound bath,austin
2025-09-07,0,sound bath,austin
2025-09-14,0,sound bath,austin
2025-09-21,0,sound bath,austin
2025-09-28,0,sound bath,austin
2025-10-05,0,sound bath,austin
2025-10-12,0,sound bath,austin
2025-10-19,0,sound bath,austin
2025-10-26,0,sound bath,austin
2025-11-02,0,sound bath,austin
2025-11-09,0,sound bath,austin
2025-11-16,0,sound bath,austin
2025-11-23,30,sound bath,austin
2025-11-30,100,sound bath,austin
2025-12-07,73,sound bath,austin
2024-12-08,0,sound bath,new jersey
2024-12-15,0,sound bath,new jersey
2024-12-22,0,sound bath,new jersey
2024-12-29,66,sound bath,new jersey
2025-01-05,0,sound bath,new jersey
2025-01-12,73,sound bath,new jersey
2025-01-19,59,sound bath,new jersey
2025-01-26,51,sound bath,new jersey
2025-02-02,0,sound bath,new jersey
2025-02-09,52,sound bath,new jersey
2025-02-16,55,sound bath,new jersey
2025-02-23,48,sound bath,new jersey
2025-03-02,100,sound bath,new jersey
2025-03-09,0,sound bath,new jersey
2025-03-16,71,sound bath,new jersey
2025-03-23,0,sound bath,new jersey
2025-03-30,0,sound bath,new jersey
2025-04-06,0,sound bath,new jersey
2025-04-13,0,sound bath,new jersey
2025-04-20,0,sound bath,new jersey
2025-04-27,0,sound bath,new jersey
2025-05-04,0,sound bath,new jersey
2025-05-11,0,sound bath,new jersey
2025-05-18,0,sound bath,new jersey
2025-05-25,49,sound bath,new jersey
2025-06-01,0,sound bath,new jersey
2025-06-08,0,sound bath,new jersey
2025-06-15,50,sound bath,new jersey
2025-06-22,0,sound bath,new jersey
2025-06-29,0,sound bath,new jersey
2025-07-06,80,sound bath,new jersey
2025-07-13,0,sound bath,new jersey
2025-07-20,53,sound bath,new jersey
2025-07-27,0,sound bath,new jersey
2025-08-03,62,sound bath,new jersey
2025-08-10,54,sound bath,new jersey
2025-08-17,68,sound bath,new jersey
2025-08-24,0,sound bath,new jersey
2025-08-31,0,sound bath,new jersey
2025-09-07,0,sound bath,new jersey
2025-09-14,58,sound bath,new jersey
2025-09-21,0,sound bath,new jersey
2025-09-28,71,sound bath,new jersey
2025-10-05,59,sound bath,new jersey
2025-10-12,0,sound bath,new jersey
2025-10-19,0,sound bath,new jersey
2025-10-26,0,sound bath,new jersey
2025-11-02,82,sound bath,new jersey
2025-11-09,0,sound bath,new jersey
2025-11-16,0,sound bath,new jersey
2025-11-23,10,sound bath,new jersey
2025-11-30,31,sound bath,new jersey
2025-12-07,36,sound bath,new jersey
2024-12-08,0,yoga sculpt,chicago
2024-12-15,0,yoga sculpt,chicago
2024-12-22,0,yoga sculpt,chicago
2024-12-29,0,yoga sculpt,chicago
2025-01-05,0,yoga sculpt,chicago
2025-01-12,0,yoga sculpt,chicago
2025-01-19,73,yoga sculpt,chicago
2025-01-26,98,yoga sculpt,chicago
2025-02-02,71,yoga sculpt,chicago
2025-02-09,0,yoga sculpt,chicago
2025-02-16,78,yoga sculpt,chicago
2025-02-23,0,yoga sculpt,chicago
2025-03-02,100,yoga sculpt,chicago
2025-03-09,0,yoga sculpt,chicago
2025-03-16,0,yoga sculpt,chicago
2025-03-23,0,yoga sculpt,chicago
2025-03-30,0,yoga sculpt,chicago
2025-04-06,0,yoga sculpt,chicago
2025-04-13,0,yoga sculpt,chicago
2025-04-20,0,yoga sculpt,chicago
2025-04-27,0,yoga sculpt,chicago
2025-05-04,0,yoga sculpt,chicago
2025-05-11,0,yoga sculpt,chicago
2025-05-18,0,yoga sculpt,chicago
2025-05-25,100,yoga sculpt,chicago
2025-06-01,0,yoga sculpt,chicago
2025-06-08,0,yoga sculpt,chicago
2025-06-15,0,yoga sculpt,chicago
2025-06-22,0,yoga sculpt,chicago
2025-06-29,0,yoga sculpt,chicago
2025-07-06,0,yoga sculpt,chicago
2025-07-13,0,yoga sculpt,chicago
2025-07-20,0,yoga sculpt,chicago
2025-07-27,0,yoga sculpt,chicago
2025-08-03,0,yoga sculpt,chicago
2025-08-10,0,yoga sculpt,chicago
2025-08-17,0,yoga sculpt,chicago
2025-08-24,0,yoga sculpt,chicago
2025-08-31,0,yoga sculpt,chicago
2025-09-07,0,yoga sculpt,chicago
2025-09-14,0,yoga sculpt,chicago
2025-09-21,0,yoga sculpt,chicago
2025-09-28,0,yoga sculpt,chicago
